Product Name,Category,Price,Stock Quantity,Description,Image
Amoxicillin 500mg Capsules,Antibiotic,35.00,50,Antibiotic for bacterial infections,https://placehold.co/600x400/png?text=Amoxicillin
Paracetamol 500mg Tablets,Pain Relief,4.99,100,Pain and fever relief medication,https://placehold.co/600x400/png?text=Paracetamol
Ibuprofen 200mg Tablets,Pain Relief,6.49,75,Anti-inflammatory pain reliever,https://placehold.co/600x400/png?text=Ibuprofen
Vitamin C 1000mg,Vitamins,9.99,60,Immune system support supplement,https://placehold.co/600x400/png?text=Vitamin+C
Allergy Relief 24h,Allergy,13.99,40,Non-drowsy allergy relief tablets,
Saline Nasal Spray,Cold & Flu,3.99,80,Gentle nasal spray for congestion,https://placehold.co/600x400/png?text=Saline+Spray
Cough Syrup 100ml,Cold & Flu,8.50,45,Cough suppressant and expectorant,https://placehold.co/600x400/png?text=Cough+Syrup
Aspirin 81mg,Pain Relief,5.99,90,Low-dose aspirin for heart health,https://placehold.co/600x400/png?text=Aspirin
Multivitamin Daily,Vitamins,12.99,55,Complete daily multivitamin supplement,https://placehold.co/600x400/png?text=Multivitamin
Antacid Tablets,Digestive,7.49,70,Fast-acting heartburn relief,https://placehold.co/600x400/png?text=Antacid
